ID,Title,Current_Community_Types,New_Community_Types
11909,Abbington Manor Al I,Assisted Living,"Assisted Living, Memory Care"
6758,Abbington Senior Living,Assisted Living,"Assisted Living, Memory Care"
6762,Abellavida Memory Care,Assisted Living,"Assisted Living, Memory Care"
11915,Aberdeen Ridge,Assisted Living,"Assisted Living, Memory Care"
6784,Acoya Mesa,Assisted Living,"Assisted Living, Memory Care"
6786,Acoya Shea,Assisted Living,"Assisted Living, Memory Care"
6821,Agave Manor,Assisted Living,"Assisted Living, Memory Care"
11973,Alpine Acres Assisted Living,Assisted Living,"Assisted Living, Memory Care"
11975,Alpine Manor Ii,Assisted Living,"Assisted Living, Memory Care"
8680,Meadows Assisted Living,Assisted Living,"Assisted Living, Memory Care"
6851,Alta Vista Senior Living Community,Assisted Living,"Assisted Living, Memory Care"
11981,Altavita Assisted Living,Assisted Living,"Assisted Living, Memory Care"
11983,Altavita Memory Care Centre,Assisted Living,"Assisted Living, Memory Care"
11987,Amaran Senior Living,Assisted Living,"Assisted Living, Memory Care"
6866,Amber Creek Memory Care Community,Assisted Living,"Assisted Living, Memory Care"
6875,American Dream Home,Assisted Living,"Assisted Living, Memory Care"
6878,American Orchards Senior Living,Assisted Living,"Assisted Living, Memory Care"
11995,Amira Choice Arvada,Assisted Living,"Assisted Living, Memory Care"
6889,Andara Senior Living,Assisted Living,"Assisted Living, Memory Care"
12006,Apple Valley Residence,Assisted Living,"Assisted Living, Memory Care"
12010,Applegate Assisted Living,Assisted Living,"Assisted Living, Memory Care"
6921,Arbor Rose Senior Care,Assisted Living,"Assisted Living, Memory Care"
6962,Ark Of Life Memory Care,Assisted Living,"Assisted Living, Memory Care"
12060,Ashford Memory Care,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
7110,Beverly Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
10508,Harmony Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
9068,Parkview Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12100,Ashley Manor Senior Living,Assisted Living,"Assisted Living, Memory Care"
12106,Aspen Creek Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12130,Aspen Valley Senior Living Community,Assisted Living,"Assisted Living, Memory Care"
12133,Aspens At Fort Collins,Assisted Living,"Assisted Living, Memory Care"
12178,Assured Senior Living Arvada,Assisted Living,"Assisted Living, Memory Care"
12182,Assured Senior Living Wagon Trail,Assisted Living,"Assisted Living, Memory Care"
12187,Ativo Senior Living Of Albuquerque,Assisted Living,"Assisted Living, Memory Care"
7008,Ativo Senior Living Of Yuma,Assisted Living,"Assisted Living, Memory Care"
7009,Ativo Senior Living Prescott Valley,Assisted Living,"Assisted Living, Memory Care"
7011,Atria Campana Del Rio,Assisted Living,"Assisted Living, Memory Care"
12193,Atria Longmont,Assisted Living,"Assisted Living, Memory Care"
12206,Autumn Breeze Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12212,Autumn Haven Assisted Living,Assisted Living,"Assisted Living, Memory Care"
12218,Avalon Memory Care,Assisted Living,"Assisted Living, Memory Care"
12222,Avamere At Mountain Ridge,Assisted Living,"Assisted Living, Memory Care"
12224,Avamere At Rio Rancho,Assisted Living,"Assisted Living, Memory Care"
7028,Avista Senior Living,Assisted Living,"Assisted Living, Memory Care"
12227,Avista Senior Living Albuquerque,Assisted Living,"Assisted Living, Memory Care"
12229,Avista Senior Living Garden City,Assisted Living,"Assisted Living, Memory Care"
12230,Avista Senior Living Nampa,Assisted Living,"Assisted Living, Memory Care"
